pipeline,missing_strategy,outlier_strategy,rmse
LinearRegression,mean,iqr,806.5732519536188
Ridge,mean,iqr,786.2756831188791
LinearRegression,mean,zscore,722.2482006380462
Ridge,mean,zscore,708.2615732742047
LinearRegression,mean,none,965.3845969304197
Ridge,mean,none,945.4226974476028
LinearRegression,median,iqr,804.9172546933581
Ridge,median,iqr,785.7451628552592
LinearRegression,median,zscore,724.8157757404646
Ridge,median,zscore,713.2880159633481
LinearRegression,median,none,971.368353468081
Ridge,median,none,950.7656182068092
LinearRegression,drop,iqr,698.2974778329777
Ridge,drop,iqr,690.3835312216814
LinearRegression,drop,zscore,673.8878969235014
Ridge,drop,zscore,655.0941024118847
LinearRegression,drop,none,721.8578423138841
Ridge,drop,none,712.8160349990652
GradientBoostingRegressor,drop,zscore,869.6851383764874
Lasso,drop,zscore,656.4967500453846
RandomForestRegressor,drop,zscore,782.0086391726232
LassoCV,drop,zscore,775.9524925209222
XGBRegressor,drop,zscore,717.5212476659989
